DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-04-2026,EQ,"2,425.00",2486.10,"2,417.50","2,440.30","2,471.60","2,464.00","2,464.88","2,985.70","2,115.00",1286575.00,"3,17,12,50,206.90",104371
16-04-2026,EQ,"2,435.00",2446.60,"2,411.60","2,423.10","2,438.00","2,440.30","2,434.82","2,985.70","2,115.00",1496210.00,"3,64,30,08,751.90",125188
15-04-2026,EQ,"2,400.50",2426.00,"2,381.00","2,352.40","2,420.70","2,423.10","2,414.03","2,985.70","2,115.00",1182431.00,"2,85,44,23,588.30",104794
13-04-2026,EQ,"2,279.90",2362.50,"2,262.00","2,360.70","2,348.00","2,352.40","2,331.49","2,985.70","2,115.00",1734562.00,"4,04,41,20,223.30",110738
10-04-2026,EQ,"2,267.70",2376.90,"2,267.70","2,269.60","2,356.00","2,360.70","2,352.32","2,985.70","2,115.00",3018178.00,"7,09,97,21,354.80",182655
09-04-2026,EQ,"2,275.00",2289.60,"2,252.00","2,282.40","2,267.10","2,269.60","2,271.32","2,985.70","2,115.00",1980060.00,"4,49,73,44,728.30",120865
08-04-2026,EQ,"2,284.50",2336.90,"2,245.20","2,186.20","2,288.00","2,282.40","2,278.70","2,985.70","2,115.00",2914767.00,"6,64,18,71,320.40",138739
07-04-2026,EQ,"2,167.70",2198.70,"2,145.00","2,184.30","2,197.00","2,186.20","2,180.48","2,985.70","2,115.00",1793007.00,"3,90,96,21,490.10",99667
06-04-2026,EQ,"2,169.00",2193.20,"2,145.90","2,169.00","2,190.00","2,184.30","2,173.75","2,985.70","2,115.00",2048228.00,"4,45,23,38,361.70",92826
02-04-2026,EQ,"2,185.00",2185.10,"2,142.40","2,225.80","2,170.40","2,169.00","2,162.87","2,985.70","2,115.00",1854061.00,"4,01,00,97,653.40",136719
01-04-2026,EQ,"2,224.80",2246.60,"2,198.40","2,165.20","2,226.00","2,225.80","2,223.69","2,985.70","2,115.00",1209900.00,"2,69,04,36,890.40",75400
30-03-2026,EQ,"2,185.30",2202.90,"2,151.00","2,207.40","2,168.20","2,165.20","2,170.89","2,985.70","2,115.00",1513565.00,"3,28,57,90,677.20",89204
27-03-2026,EQ,"2,246.30",2269.00,"2,201.10","2,270.20","2,209.20","2,207.40","2,225.52","2,985.70","2,115.00",1089010.00,"2,42,36,08,122.60",69114
25-03-2026,EQ,"2,225.10",2289.70,"2,222.00","2,217.30","2,271.00","2,270.20","2,264.27","2,985.70","2,115.00",1270855.00,"2,87,75,54,227.60",130505
24-03-2026,EQ,"2,184.00",2224.50,"2,153.30","2,121.30","2,220.50","2,217.30","2,196.94","2,985.70","2,115.00",1561016.00,"3,42,94,55,492.80",120036
23-03-2026,EQ,"2,180.00",2180.00,"2,115.00","2,195.40","2,120.80","2,121.30","2,138.30","2,985.70","2,115.00",978398.00,"2,09,21,08,841.10",84243
